STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period,TIMELINESS,Timeliness,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,EPRICE_IND,Industry electricity price,USD_PPP_KWH,"US dollars per kilowatt hour, PPP converted",_T,Total - all activities,2007,,0.25,,A,Normal value,,,0,Units,Q,Constant prices,2015,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,EPRICE_IND,Industry electricity price,USD_PPP_KWH,"US dollars per kilowatt hour, PPP converted",_T,Total - all activities,2006,,0.27,,A,Normal value,,,0,Units,Q,Constant prices,2015,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,EPRICE_IND,Industry electricity price,USD_PPP_KWH,"US dollars per kilowatt hour, PPP converted",_T,Total - all activities,2005,,0.29,,A,Normal value,,,0,Units,Q,Constant prices,2015,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,EPRICE_IND,Industry electricity price,USD_PPP_KWH,"US dollars per kilowatt hour, PPP converted",_T,Total - all activities,2004,,0.32,,A,Normal value,,,0,Units,Q,Constant prices,2015,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,EPRICE_IND,Industry electricity price,USD_PPP_KWH,"US dollars per kilowatt hour, PPP converted",_T,Total - all activities,2003,,0.33,,A,Normal value,,,0,Units,Q,Constant prices,2015,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,EPRICE_IND,Industry electricity price,USD_PPP_KWH,"US dollars per kilowatt hour, PPP converted",_T,Total - all activities,2002,,0.29,,A,Normal value,,,0,Units,Q,Constant prices,2015,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,EPRICE_IND,Industry electricity price,USD_PPP_KWH,"US dollars per kilowatt hour, PPP converted",_T,Total - all activities,2001,,0.25,,A,Normal value,,,0,Units,Q,Constant prices,2015,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,EPRICE_IND,Industry electricity price,USD_PPP_KWH,"US dollars per kilowatt hour, PPP converted",_T,Total - all activities,2000,,0.24,,A,Normal value,,,0,Units,Q,Constant prices,2015,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,EPRICE_IND,Industry electricity price,USD_PPP_KWH,"US dollars per kilowatt hour, PPP converted",_T,Total - all activities,2020,,0.22,,A,Normal value,,,0,Units,Q,Constant prices,2015,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,EPRICE_IND,Industry electricity price,USD_PPP_KWH,"US dollars per kilowatt hour, PPP converted",_T,Total - all activities,2019,,0.22,,A,Normal value,,,0,Units,Q,Constant prices,2015,,1,"1 year lag, timely",2,Two
